"Ano-calendário";"CNPJ";"Razão Social";"Nome Fantasia";"Código CNAE";"CNAE";"Município";"UF";"Valor Renúncia Fiscal (R$)"
"2024";"03807490000120";"THERMOTITE DO BRASIL LTDA";"SHAWCOR";"25390";"Serviços de usinagem, solda, tratamento e revestimento em metais";"SERRA";"ES";"2549702,00"
"2024";"71444863000104";"CONAL CONSTRUTORA NACIONAL DE AVIOES LTDA";"";"00000";"Sem informação";"SOROCABA";"SP";"2547808,00"
"2024";"93189694000723";"WEATHERFORD INDUSTRIA E COMERCIO LTDA";"WEATHERFORD IND. E COM. LTDA.";"09106";"Atividades de apoio à extração de petróleo e gás natural";"MACAÉ";"RJ";"2543676,00"
"2024";"08689024000292";"VALLOUREC SOLUCOES TUBULARES DO BRASIL S.A.";"";"24237";"Produção de laminados longos de aço";"JECEABA";"MG";"2541206,00"
"2024";"08220784000175";"VERTCO BLINDAGEM - INDUSTRIA E COMERCIO LTDA";"VERTCO BLINDAGEM";"00000";"Sem informação";"MOGI DAS CRUZES";"SP";"2539643,00"
"2024";"48961637000170";"HORSE BRASIL S.A.";"";"29107";"Fabricação de automóveis, camionetas e utilitários";"SÃO JOSÉ DOS PINHAIS";"PR";"2536048,00"
"2024";"47366273000541";"THYSSENKRUPP BRASIL LTDA.";"";"29492";"Fabricação de peças e acessórios para veículos automotores não especificados anteriormente";"SÃO JOSÉ DOS PINHAIS";"PR";"2535329,00"
"2024";"41278613000172";"AGRO ACEITUNERA DO BRASIL LTDA.";"";"10325";"Fabricação de conservas de legumes e outros vegetais";"CAMPINA GRANDE DO SUL";"PR";"2533922,00"
"2024";"00489050000184";"JJGC INDUSTRIA E COMERCIO DE MATERIAIS DENTARIOS S.A";"NEODENT";"32507";"Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos";"CURITIBA";"PR";"2533348,00"
"2024";"13373898000195";"GOHOBBY FUTURE TECHNOLOGY LTDA";"";"46699";"Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças";"BARUERI";"SP";"2532586,00"
"2024";"00892361000190";"ALPHA ASSEMBLY SOLUTIONS BRASIL SOLDAS LTDA";"";"24491";"Metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente";"MANAUS";"AM";"2529479,00"
"2024";"05054929000117";"SECRETARIA DE ESTADO DE SAUDE PUBLICA";"PA SSA GABINETE DO SECRETARIO";"84116";"Administração pública em geral";"BELÉM";"PA";"2523808,00"
"2024";"14276283000103";"AGRO COMERCIAL C. R. IMPORTACAO E EXPORTACAO LTDA.";"";"46338";"Comércio atacadista de hortifrutigranjeiros";"SÃO PAULO";"SP";"2520669,00"
"2024";"07112191000122";"NUTRITIVA IMPORTADORA E COMERCIO DE FRUTAS LTDA";"NUTRITIVA";"46338";"Comércio atacadista de hortifrutigranjeiros";"SÃO PAULO";"SP";"2519949,00"
"2024";"18105959001714";"OCP FERTILIZANTES LTDA.";"";"46834";"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo";"CABO DE SANTO AGOSTINHO";"PE";"2516335,00"
"2024";"39614753000122";"CENTILLION LTDA";"";"00000";"Sem informação";"FOZ DO IGUAÇU";"PR";"2515575,00"
"2024";"04569213000432";"FARTURA ALIMENTOS LTDA";"FARTURA ALIMENTOS";"46338";"Comércio atacadista de hortifrutigranjeiros";"PORTO VELHO";"RO";"2514827,00"
"2024";"05799312003065";"SLC AGRICOLA CENTRO OESTE S.A.";"FAZENDA PIRACEMA I";"01156";"Cultivo de soja";"NOVA MUTUM";"MT";"2514704,00"
"2024";"03928511000166";"S.O.S SUL RESGATE - COMERCIO E SERVICOS DE SEGURANCA E SINALIZACAO LTDA";"CASA DO BOMBEIRO";"46427";"Comércio atacadista de artigos do vestuário e acessórios";"CURITIBA";"PR";"2514680,00"
"2024";"21437447004785";"ADUBOS REAL S.A.";"";"20134";"Fabricação de adubos e fertilizantes";"MOGI MIRIM";"SP";"2507530,00"
"2024";"28552698000177";"SOLERGY COMERCIO DE EQUIPAMENTOS SOLARES LTDA";"SOLERGY";"27104";"Fabricação de geradores, transformadores e motores elétricos";"ARAPONGAS";"PR";"2504870,00"
"2024";"02036483000614";"CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LTDA";"";"22111";"Fabricação de pneumáticos e de câmaras-de-ar";"CAMAÇARI";"BA";"2504525,00"
"2024";"08938255001000";"CCAB AGRO S.A.";"CCAB AGRO SA";"46834";"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo";"APARECIDA DE GOIÂNIA";"GO";"2504087,00"
"2024";"40167240000108";"F2J BRASIL FAROIS E SISTEMAS AUTOMOTIVOS LTDA.";"F2J LIGHTING INTERLAGOS";"29450";"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias";"SÃO PAULO";"SP";"2501755,00"
"2024";"11814967000719";"CRUSOE FOODS INDUSTRIA, IMPORTACAO E EXPORTACAO LTDA";"";"10201";"Preservação do pescado e fabricação de produtos do pescado";"SÃO GONÇALO DO AMARANTE";"CE";"2496723,00"
"2024";"17596025000100";"LM WIND POWER DO BRASIL LTDA";"";"22293";"Fabricação de artefatos de material plástico não especificados anteriormente";"IPOJUCA";"PE";"2495060,00"
"2024";"43818418001357";"NOURYON PULP AND PERFORMANCE INDUSTRIA QUIMICA LTDA";"";"82997";"Atividades de serviços prestados principalmente às empresas não especificadas anteriormente";"CAMAÇARI";"BA";"2488065,00"
"2024";"24440738000138";"OKUBO IMPORTACAO E DISTRIBUICAO LTDA";"OKUBO IMPORTACAO";"46893";"Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente";"UBERABA";"MG";"2487039,00"
"2024";"15789367000103";"BTL BRASIL COMERCIO, IMPORTACAO E EXPORTACAO LTDA";"BTL BRASIL";"47733";"Comércio varejista de artigos médicos e ortopédicos";"SÃO PAULO";"SP";"2481141,00"
"2024";"07154639000170";"J V DIEMINGER & CIA LTDA";"";"49302";"Transporte rodoviário de carga";"PORTO XAVIER";"RS";"2476788,00"
"2024";"01202762000133";"SUDAMBEEF, INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA";"";"46346";"Comércio atacadista de carnes, produtos da carne e pescado";"BARUERI";"SP";"2475371,00"
"2024";"51943645000107";"BIOMEDICAL EQUIPAMENTOS E PROD MEDICO-CIRURGICOS LTDA";"BIOMEDICAL";"32507";"Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos";"SÃO PAULO";"SP";"2471273,00"
"2024";"56577059000100";"FUNDACAO FACULDADE DE MEDICINA";"";"86101";"Atividades de atendimento hospitalar";"SÃO PAULO";"SP";"2471191,00"
"2024";"05399786000770";"UNICHEM FARMACEUTICA DO BRASIL LTDA.";"";"46443";"Comércio atacadista de produtos farmacêuticos para uso humano e veterinário";"ITAJAÍ";"SC";"2470986,00"
"2024";"37309283000168";"SUL GOIANA INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA";"";"20134";"Fabricação de adubos e fertilizantes";"GOIATUBA";"GO";"2470594,00"
"2024";"04479608000100";"FERTILIZE - AGRICOLA LTDA";"FERTILIZE";"20134";"Fabricação de adubos e fertilizantes";"ARAUCÁRIA";"PR";"2469139,00"
"2024";"08070508012184";"RAIZEN ENERGIA S.A";"";"10716";"Fabricação de açúcar em bruto";"PIRACICABA";"SP";"2468696,00"
"2024";"33381286000151";"SUPER MERCADO ZONA SUL S A";"";"47113";"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"RIO DE JANEIRO";"RJ";"2468398,00"
"2024";"02575011001016";"COMERCIAL DE ALHOS E CONDIMENTOS MATTOS LTDA";"COMERCIAL DE ALHO TEIXEIRA";"46371";"Comércio atacadista especializado em produtos alimentícios não especificados anteriormente";"PORTO VELHO";"RO";"2467922,00"
"2024";"10425282003229";"BOM FUTURO AGRICOLA LTDA";"PR SANTA LUZIA";"01156";"Cultivo de soja";"SAPEZAL";"MT";"2467512,00"
"2024";"52884061000162";"DE MARCHI INDUSTRIA E COMERCIO DE FRUTAS LTDA";"";"10317";"Fabricação de conservas de frutas";"JUNDIAÍ";"SP";"2467122,00"
"2024";"13132385000192";"SEARS SEATING DO BRASIL COMERCIO E INDUSTRIA DE ASSENTOS LTDA";"";"29492";"Fabricação de peças e acessórios para veículos automotores não especificados anteriormente";"SANTANA DE PARNAÍBA";"SP";"2464590,00"
"2024";"13881630000164";"TEKWELD IMPORTACAO E COMERCIO DE MAQUINAS INDUSTRIAIS LTDA.";"";"46630";"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";"NOVA ODESSA";"SP";"2462853,00"
"2024";"61827663000926";"ZARAPLAST S.A";"";"22226";"Fabricação de embalagens de material plástico";"GUARULHOS";"SP";"2460385,00"
"2024";"25101992000255";"UGHC BRASIL IMPORTADORA LTDA";"";"46451";"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico";"ARAQUARI";"SC";"2453602,00"
"2024";"04613520000120";"VALGROUP BRASIL III INDUSTRIA DE EMBALAGENS PLASTICAS LTDA";"VALGROUP";"22226";"Fabricação de embalagens de material plástico";"CAMAÇARI";"BA";"2453527,00"
"2024";"18067083000282";"NOVA FIACAO INDUSTRIA TEXTIL S.A.";"";"46117";"Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos";"VITÓRIA";"ES";"2451683,00"
"2024";"01341776000308";"MERCOSUL LINE NAVEGACAO E LOGISTICA LTDA";"MERCOSUL LINE";"50114";"Transporte marítimo de cabotagem";"SANTOS";"SP";"2447436,00"
"2024";"08402402000124";"COLLINA BENEFICIAMENTO E ARMAZENAGENS DE CEREAIS LTDA";"";"46397";"Comércio atacadista de produtos alimentícios em geral";"SÃO PAULO";"SP";"2447429,00"
"2024";"11365287000170";"BANGTOYS DO BRASIL INDUSTRIA DE BRINQUEDOS E COMERCIO LTDA";"BANGTOYS DA AMAZONIA";"32400";"Fabricação de brinquedos e jogos recreativos";"MANAUS";"AM";"2446816,00"
"2024";"33592510042400";"VALE S.A.";"VALE - TERMINAL MARITIMO DE PONTA DA MADEIRA";"46893";"Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente";"SÃO LUÍS";"MA";"2445181,00"
"2024";"81611931000632";"OESA COMERCIO E REPRESENTACOES S/A";"FRIGONEPI";"46346";"Comércio atacadista de carnes, produtos da carne e pescado";"ITARIRI";"SP";"2442453,00"
"2024";"33042730013435";"COMPANHIA SIDERURGICA NACIONAL";"";"25993";"Fabricação de produtos de metal não especificados anteriormente";"ARAUCÁRIA";"PR";"2440007,00"
"2024";"03959413000196";"HM.CLAUSE BRASIL COMERCIO DE SEMENTES LTDA";"";"46231";"Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja";"CAMPINAS";"SP";"2438590,00"
"2024";"67630541000174";"MEDCORP SAUDE TECNOLOGIA LTDA";"MEDCORP";"46451";"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico";"DIADEMA";"SP";"2436211,00"
"2024";"04933508000446";"POLYVOX TECNOLOGIA DIGITAL LTDA";"";"26108";"Fabricação de componentes eletrônicos";"MANAUS";"AM";"2434021,00"
"2024";"08992115000111";"4TECH MAQUINAS E EQUIPAMENTOS LTDA";"4TECH MAQUINAS";"46630";"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";"AMERICANA";"SP";"2433382,00"
"2024";"02531128000107";"HEIDELBERG DO BRASIL SISTEMAS GRAFICOS E SERVICOS LTDA";"";"46630";"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";"SANTANA DE PARNAÍBA";"SP";"2430943,00"
"2024";"01662868000381";"SBM DO BRASIL LTDA";"";"09106";"Atividades de apoio à extração de petróleo e gás natural";"DUQUE DE CAXIAS";"RJ";"2428262,00"
"2024";"11735586000159";"FUNDACAO DE APOIO AO DESENVOLVIMENTO DA UNIVERSIDADE FEDERAL DE PERNAMBUCO";"FADE-UFPE";"85503";"Atividades de apoio à educação";"RECIFE";"PE";"2428184,00"
"2024";"17126672000140";"SOLUFIL FILTRACOM INDUSTRIA E COMERCIO DE FILTROS LTDA";"SOLUFIL";"13545";"Fabricação de tecidos especiais, inclusive artefatos";"VALINHOS";"SP";"2426978,00"
"2024";"42964532000199";"VIP INDUSTRIA DE PLASTICO DA AMAZONIA LTDA";"VIP INDUSTRIA";"22226";"Fabricação de embalagens de material plástico";"MANAUS";"AM";"2426837,00"
"2024";"12759673000613";"BRFERTIL S.A";"";"20134";"Fabricação de adubos e fertilizantes";"RIO VERDE";"GO";"2423565,00"
"2024";"01599436000101";"AMSTED-MAXION FUNDICAO E EQUIPAMENTOS FERROVIARIOS S/A";"";"24512";"Fundição de ferro e aço";"CRUZEIRO";"SP";"2423164,00"
"2024";"09590877000235";"ACQUA VIVA COMERCIO INTERNACIONAL LTDA";"**********";"46371";"Comércio atacadista especializado em produtos alimentícios não especificados anteriormente";"ITAJAÍ";"SC";"2419876,00"
"2024";"43338797000144";"DIATOM MINERACAO LTDA";"";"20193";"Fabricação de produtos químicos inorgânicos não especificados anteriormente";"MOGI DAS CRUZES";"SP";"2418915,00"
"2024";"00069957000194";"PORTO A PORTO COMERCIO, IMPORTACAO E EXPORTACAO LTDA";"PORTO A PORTO IMPORTADORA";"46354";"Comércio atacadista de bebidas";"CAMPINA GRANDE DO SUL";"PR";"2417190,00"
"2024";"60498706044529";"CARGILL AGRICOLA S A";"";"46371";"Comércio atacadista especializado em produtos alimentícios não especificados anteriormente";"PARANAGUÁ";"PR";"2416927,00"
"2024";"00776908000191";"DE NORA DO BRASIL LTDA";"";"28691";"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente";"SOROCABA";"SP";"2415658,00"
"2024";"05393234000160";"OUROLUX COMERCIAL LTDA";"";"46737";"Comércio atacadista de material elétrico";"GUARULHOS";"SP";"2414333,00"
"2024";"03290856000137";"ARTEK - INDUSTRIAL DA AMAZONIA LTDA";"ARTEK";"46737";"Comércio atacadista de material elétrico";"MANAUS";"AM";"2412507,00"
"2024";"92265552000816";"MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA";"NOVA QUIMICA";"00000";"Sem informação";"JAGUARIÚNA";"SP";"2411684,00"
